feature,importance,std
pain_score,0.24452249203610618,0.0027589755235546336
gcs_total,0.11506488762071025,0.0010038592093105415
news2_score,0.07185595095709067,0.0016042223910672118
spo2,0.04260844927693926,0.0007594297091068748
temperature_c,0.03338431120539894,0.001543352183966329
respiratory_rate,0.021050270105613073,0.0004121666217601828
num_prior_ed_visits_12m,0.019960576337740805,0.00019039747919430018
mental_status_triage,0.010466952610741154,0.00032145850870511086
heart_rate,0.006523274269423636,0.00039698945727332277
shock_index,0.0021660155514885058,0.0002299037241523423
mean_arterial_pressure,0.0018652296364531547,0.00010623634236719639
diastolic_bp,0.001437963118514592,0.00023077103068756664
systolic_bp,0.0011602490808050685,0.00014206747200201826
comorbidity_to_age_ratio,0.0003799264597907914,9.993615307618855e-05
age_adjusted_shock_index,0.0003652903723993332,0.00011590019627516052
age,0.00019942019665134905,7.600454693013653e-05
pulse_pressure,0.00015640190567948556,5.373918759035286e-05
num_active_medications,0.00013928011092434467,2.330494879012505e-05
hx_heart_failure,0.00010936917943638047,2.9967963497628482e-05
hx_stroke_prior,7.476043969179003e-05,7.479258836630388e-06
language,6.333657701940165e-05,2.6155739458784443e-05
arrival_hour,5.884916668878285e-05,3.0604071357370446e-05
arrival_day,3.910278439001047e-05,8.344557614921064e-05
arrival_month,3.482778803554076e-05,7.220853336485717e-05
transport_origin,3.308366284796952e-05,4.782440208752991e-05
pain_location,3.0298534936190613e-05,1.2711134366965217e-05
hx_pregnant,3.0130462711608352e-05,3.4074855711752145e-06
hx_obesity,2.7624821491989415e-05,1.5770192320731914e-05
historical_admission_rate,2.387694364828589e-05,1.871181036658998e-05
insurance_type,2.3532551270559015e-05,2.6033921461648605e-05
hx_depression,2.3187696555293513e-05,1.6679352490106216e-05
is_hypotensive,2.2656145555928948e-05,4.8751364221427245e-06
hx_diabetes_type1,2.1033889682294433e-05,8.558484131431596e-06
age_group,1.9628314524770356e-05,2.3409669369024092e-05
hx_copd,1.959834241168264e-05,1.1259965229201904e-05
hx_substance_use_disorder,1.8219347250288582e-05,1.9208329913608574e-05
hx_immunosuppressed,1.7368974251456375e-05,2.5360857376303966e-06
num_comorbidities,1.731761696521783e-05,3.270864183801827e-05
hx_malignancy,1.6938737133524267e-05,1.282792691391948e-05
height_cm,1.4384126260128896e-05,3.98289660829919e-05
hx_hypothyroidism,1.37503069414698e-05,2.1773418599372816e-05
hx_atrial_fibrillation,1.2127628793545675e-05,1.0278905734153128e-05
hx_ckd,1.212485657279642e-05,4.286618270676757e-06
hx_peripheral_vascular_disease,8.21939425147781e-06,2.2517091220638168e-05
hx_anxiety,6.38025435351075e-06,4.2259437907677425e-06
hx_coagulopathy,5.343623298255847e-06,4.912019997007312e-06
hx_hiv,4.6561413469999495e-06,2.234811307582458e-05
hx_hyperthyroidism,5.025354446278977e-07,8.856558185528003e-06
shift,4.775923556632478e-07,1.58084419038312e-05
hx_epilepsy,1.8689046014467672e-07,7.429929579587522e-06
hx_hypertension,1.863259661005756e-07,1.4235612020864786e-05
is_hypoxic,0.0,0.0
sirs_tachycardia,0.0,0.0
sirs_tachypnea,0.0,0.0
num_prior_admissions_12m,-2.310794023426451e-06,9.458410862177718e-06
hx_diabetes_type2,-2.499376992629957e-06,1.4493737806096014e-05
hx_coronary_artery_disease,-5.3455723007707805e-06,5.303456955825158e-06
hx_dementia,-6.0628192962338305e-06,4.287060637475593e-06
hx_asthma,-1.491404491682502e-05,1.7781797686909854e-05
hx_liver_disease,-1.5159828212096826e-05,1.704029625914874e-05
sex,-1.768631098830742e-05,1.630218324318373e-05
arrival_mode,-2.010166800888354e-05,1.185843779243548e-05
sirs_temp,-3.672454334239609e-05,7.2518455926301535e-06
bmi,-4.844256863086501e-05,7.815465624366233e-05
weight_kg,-6.066256324828897e-05,1.7650723295651148e-05
arrival_season,-6.629723589224312e-05,8.711410474292067e-06
sirs_score,-0.0002412040100558214,0.00023172519979411995
