,0
pain_score,1.375246601467314
gcs_total,0.5792168728615856
news2_score,0.5754630577791813
spo2,0.3480220270754998
temperature_c,0.26584997341195193
respiratory_rate,0.2545874880997158
num_prior_ed_visits_12m,0.1709585134128948
mental_status_triage,0.16327374373400588
mean_arterial_pressure,0.10869165940266644
heart_rate,0.09291961138325426
systolic_bp,0.06485399861187174
diastolic_bp,0.060414782506088116
shock_index,0.050884159968844815
age_adjusted_shock_index,0.039768705450578895
comorbidity_to_age_ratio,0.033620907589955576
pulse_pressure,0.024352185672313537
sirs_score,0.018267731271983445
height_cm,0.016373686106505875
bmi,0.012797770625216347
weight_kg,0.011753731494484351
arrival_hour,0.011259071248051861
age,0.010530975647740717
num_comorbidities,0.009314445773656824
arrival_day,0.00809515895180911
arrival_month,0.0074222755106695725
