ref,title,author,lastRunTime,totalVotes
olaflundstrom/triagegeist-baseline,triagegeist_baseline,Olaf Yunus Laitinen Imanov,2026-02-22 12:25:01.997000,28
jasonkarpeles/triagegeistmodel,TriagegeistModel,Jason Karpeles,2026-02-23 17:35:49.023000,15
plarmuseau/simpl,simpl,Paul Larmuseau,2026-03-02 21:47:11.697000,15
udaken10/no-no-no-more-leak,"No, No, no more leak",really?,2026-03-14 13:47:32.097000,11
grifth/triagegeist-ensemble-final,Triagegeist-Ensemble-Final,grifth,2026-03-05 05:48:58.797000,11
nameditor/predicting-emergency-triage-acuity,Predicting Emergency Triage Acuity,Nam Do,2026-03-11 04:53:16,8
uzbtrust/triagegeits-final-ipynb,triagegeits_final.ipynb,Abdurakhmonov Dostonbek,2026-04-20 03:52:35.427000,7
kimseunghwan9823/gb-ensembles-triagegeist,GB Ensembles Triagegeist,"Seunghwan Kim, MD",2026-03-17 16:05:41.917000,7
architkonde/triagegeist-v1,Triagegeist_V1,Archit Konde,2026-03-18 04:52:38.893000,7
satyasaikumarm/triagegeist-final-one,Triagegeist Final one,Satya sai kumar M,2026-03-16 13:01:12,6
monkeydlundy/patient-history,patient_history,MonkeyD Lundy,2026-03-17 16:09:23.793000,6
harshjagda/triagecomp,TriageComp,Harsh Jagda,2026-02-27 19:27:51.417000,6
mishashikhov/safetriage-explainable-esi-triage-guardrails,SafeTriage: Explainable ESI Triage Guardrails,Misha Shikhov,2026-05-10 12:05:22,6
msama01/triage-acuity-prediction-pipeline,Triage Acuity Prediction Pipeline,Maram Ali,2026-06-06 13:15:48.387000,5
dhruvjain35/triagegeist-clinical-ai-pipeline,Triagegeist-Clinical-AI-Pipeline,Dhruv Jain,2026-04-12 18:40:27.683000,5
abhishekgupta56447/triage-acuity-prediction-with-stacked,Triage Acuity Prediction with Stacked ,Abhishek Gupta,2026-03-18 06:10:07.217000,5
rahulchauhan016/emergency-department-triage-risk-prediction,🏥 Emergency Department Triage Risk Prediction,RAHUL CHAUHAN,2026-04-25 06:40:14.027000,5
monsurhabib/triagegeist,Triagegeist,Monsur Habib,2026-04-21 21:06:52.313000,4
ameythakur20/triagegeist-cdss-multi-tier-acuity-forecasting,Triagegeist CDSS Multi Tier Acuity Forecasting,Amey Thakur,2026-03-25 20:46:42.083000,4
aleksejdvojnev/triagegeist,triagegeist,Aleksej Dvojnev,2026-03-04 07:10:47.557000,4
